This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
          \                \                \______________________  \  \
           \                \___________________________________   \  \  \
____________\___________________________________________________\___\__\__\_______
3380b0db7ba3ecdcf08405509f39cb8c4aab8482b847f7b22b9e1a1f2844b77b 2 2 148 0
c7d7b8e302b30c887916e9788f1e44931a04779207a28143d40ea1f02aa20dc6 2 2 152 0
ad47bd0f80cc4ecaffe65f573fb323c53dc32074c3e5996b88534ff7e3375f9d 16 16 65 19
225a4bf5518b134e2bec87b72721a9df54aec13ee40738d32acf320e8da2f5f8 3 3 74 1
5af99aa10f116f6a8da0a0124e7e0b01c720c5538fc599f2d555bd3ced5e5233 6 0 0 0
feb20617ba6e22cc0374111df20fdd6f5c5dc1ce2b08105d3832bbc0a48239dc 5 5 12 3
2aba66c4c6b14a2baff34129e41ea84142466ac2ffbd25b4e09946fda5aedd45 5 5 11963 12
d1d77f0fe45ed200c686dae23f42af6f2f1f5248e876f569100f0e942dd1edad 12 12 1191 27
7eba1ce0b1fd45627d3b2de58837b465f0ad62a87cff2405249c16dc4b3f5e92 19 19 1924 593
a7e5bac5960699c096a83740c755b48f95b0ade1a281ac763b47e313562d6ba5 42 42 4881 285
fab4e54c83a73c1f012b1ade8699822ba2607b87ef81fc79699334007b7add92 327 275 3195 2467
5b24cfd30f4d17d4fac4e85d1360239c13669e19c238c0dfcf49114541d9fb7b 2 2 317 0
ca9c076064845d7e6b61fc87a3643bf99f4175e0f194bfaedcc347b1e9ce8a94 0 0 0 0
a0263c75c1b296b23dba5904d9b48d8ea728f1b1022c092f2ec23f469cf2e83f 0 0 0 0
8a95857d09783d78c2183f40ba6fc614df89f7da90b117cf93186b661dc6b684 2 2 6222 23
58e568f8b1e5cdecf006f5c963c60eb377107ddead92361d8253052d558c3325 2 1 7229 0
28bb0f81f6c885610734b7177af6a4586e46d856325cb12093c864e42fdd22f2 1 1 31976 0
309f632ee2de9118a5fe6dcd5a41f37eba53c2d095df014b1c721446102b2825 1 1 27788 0
30f0750c8e683f95ff8475b4e3145b88fdf109c961793a79d5caeb50407a980c 1 1 5281 0
6fa5227e39f827eb73df5ac6675191d8480d2f26b5806e2eddd66e52fed1a9c5 23 0 0 0
ad11c44e7e0aed3efb081ca2c6ec321948e5afd469b13cc73cf59b8250d9b888 12 12 7412 509
